SYNSET_ID	TEXT	PARENTS	PARENT_TEXTS
135119-V	ТИРАЖИРОВАТЬ, РАСТИРАЖИРОВАТЬ	['114107-V', '106640-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'УВЕЛИЧИВАТЬ, ДОУВЕЛИЧИВАТЬ, УВЕЛИЧИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
116350-V	РАСПЕЧАТАТЬ, РАСПЕЧАТЫВАТЬ, РАСПЕЧАТЫВАТЬСЯ, РАСПЕЧАТАТЬ С НОСИТЕЛЯ ИНФОРМАЦИИ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
116617-V	НАПЕЧАТАТЬ ЗАНОВО, ПЕРЕПЕЧАТАТЬ ЗАНОВО, ПЕРЕПЕЧАТЫВАТЬ, ПЕРЕПЕЧАТАТЬ	['1359-V', '144051-V']	['ПУБЛИКОВАТЬ СВЕДЕНИЯ, ОПУБЛИКОВАТЬ, ОБНАРОДОВАТЬ, ВЫПУСТИТЬ В СВЕТ, ВЫПУСКАТЬ В СВЕТ, ПОМЕСТИТЬ ПУБЛИКАЦИЮ, ВЫЙТИ В СВЕТ, ПОМЕЩАТЬ ПУБЛИКАЦИЮ, ОПУБЛИКОВЫВАТЬ, ПЕЧАТАТЬСЯ, ВЫХОДИТЬ В СВЕТ, ПОМЕЩАТЬ, ПОМЕСТИТЬ, ОПУБЛИКОВАТЬ СВЕДЕНИЯ, ПУБЛИКОВАТЬ, ОПУБЛИКОВАТЬСЯ', 'ВЫХОДИТЬ ИЗ ПЕЧАТИ, ПЕЧАТАТЬ, НАПЕЧАТАТЬ, ИЗДАТЬ, ИЗДАВАТЬСЯ, ИЗДАВАТЬ, ВЫЙТИ ИЗ ПЕЧАТИ']
116617-V	НАПЕЧАТАТЬ ЗАНОВО, ПЕРЕПЕЧАТАТЬ ЗАНОВО, ПЕРЕПЕЧАТЫВАТЬ, ПЕРЕПЕЧАТАТЬ	['114107-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
154207-V	ПЕРЕПЕЧАТАТЬ, ПЕРЕПЕЧАТЫВАТЬ	['114107-V', '111619-V', '114108-V', '110447-V']	['РАЗМНОЖАТЬ, РАЗМНОЖИТЬ', 'СКОПИРОВАТЬ, ДЕЛАТЬ КОПИЮ, КОПИРОВАТЬ, СДЕЛАТЬ КОПИЮ, СНИМАТЬ КОПИЮ, СНЯТЬ КОПИЮ', 'ПЕЧАТАТЬ, ПЕЧАТАТЬСЯ, ДОПЕЧАТАТЬ, ДОПЕЧАТЫВАТЬ, ПРОПЕЧАТЫВАТЬ, НАПЕЧАТАТЬ, ПРОПЕЧАТАТЬ, ОТПЕЧАТАТЬ, ОТПЕЧАТЫВАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
118634-V	ПРИДУМЫВАТЬ, НАПРИДУМЫВАТЬ, НАСОЧИНЯТЬ, НАДУМЫВАТЬ, ИЗ ПАЛЬЦА ВЫСОСАТЬ, ИЗМЫШЛЯТЬ, ИЗМЫСЛИТЬ, ДОСОЧИНЯТЬ, ВЫСОСАТЬ ИЗ ПАЛЬЦА, НАФАНТАЗИРОВАТЬ, ПРИДУМАТЬ, НАПРИДУМАТЬ, ПРИМЫСЛИТЬ, ПРИМЫШЛЯТЬ, СОЧИНИТЬ, СОЧИНЯТЬ, ВЫМЫСЛИТЬ, ФАНТАЗИРОВАТЬ, ВЫДУМЫВАТЬ, ВЫДУМАТЬ	['118572-V', '107199-V']	['ВООБРАЖАТЬ, ВООБРАЗИТЬ', 'ОШИБОЧНО ПРЕДПОЛАГАТЬ, ОШИБИТЬСЯ В МНЕНИИ, ОШИБИТЬСЯ В ПРЕДПОЛОЖЕНИИ, ИМЕТЬ ЛОЖНОЕ МНЕНИЕ, ЗАБЛУЖДАТЬСЯ, БЫТЬ В ЗАБЛУЖДЕНИИ, ОШИБОЧНО ПРЕДПОЛОЖИТЬ']
118634-V	ПРИДУМЫВАТЬ, НАПРИДУМЫВАТЬ, НАСОЧИНЯТЬ, НАДУМЫВАТЬ, ИЗ ПАЛЬЦА ВЫСОСАТЬ, ИЗМЫШЛЯТЬ, ИЗМЫСЛИТЬ, ДОСОЧИНЯТЬ, ВЫСОСАТЬ ИЗ ПАЛЬЦА, НАФАНТАЗИРОВАТЬ, ПРИДУМАТЬ, НАПРИДУМАТЬ, ПРИМЫСЛИТЬ, ПРИМЫШЛЯТЬ, СОЧИНИТЬ, СОЧИНЯТЬ, ВЫМЫСЛИТЬ, ФАНТАЗИРОВАТЬ, ВЫДУМЫВАТЬ, ВЫДУМАТЬ	['111983-V', '111668-V']	['ПОДБАВЛЯТЬ, ПРИБАВИТЬ, ПРИПЛЮСОВАТЬ, ДОБАВЛЯТЬ, ПОДБАВИТЬ, ПРИБАВЛЯТЬ, ДОБАВИТЬ, ПРИПЛЮСОВЫВАТЬ', 'ПРИСОЕДИНИТЬ, ПРИСОЕДИНЯТЬ']
124595-V	ПЕРЕТРЯСАТЬ, ПЕРЕТРЯСТИ, ПЕРЕТРЯХИВАТЬ, ПЕРЕТРЯХНУТЬ	['111144-V', '115544-V']	['ПОТРЯХИВАТЬ, ЗАТРЯСТИ, ПОТРЯСТИ, ТРЯХНУТЬ, ТРЯСТИ', 'ВСТРЯХИВАТЬ, ВСТРЯХНУТЬ']
124595-V	ПЕРЕТРЯСАТЬ, ПЕРЕТРЯСТИ, ПЕРЕТРЯХИВАТЬ, ПЕРЕТРЯХНУТЬ	['111021-V', '116221-V', '111656-V']	['ВЫБРАСЫВАТЬСЯ, ВЫШВЫРИВАТЬ, ВЫКИНУТЬ, ВЫКИДЫВАТЬСЯ, БРОСАТЬ, ВЫБРОСИТЬ, ВЫШВЫРНУТЬ, ВЫБРАСЫВАТЬ, ВЫКИДЫВАТЬ, БРОСИТЬ', 'ВЫТРЯХНУТЬ, ВЫТРЯСТИ, ВЫТРЯХИВАТЬ', 'РОНЯТЬ, УРОНИТЬ']
136971-V	РАСПОТРОШИТЬ, ВЫПОТРОШИТЬ, ВЫПОТРОШИТЬ СОДЕРЖИМОЕ, ПОТРОШИТЬ	['118698-V', '119076-V']	['СОВЕРШИТЬ ДЕЙСТВИЕ, ДЕЛАТЬ, ДЕЙСТВОВАТЬ, СДЕЛАТЬ, СОВЕРШАТЬ ДЕЙСТВИЕ, ДЕЛАТЬСЯ', 'ИСКАТЬ, ВЕСТИ ПОИСКИ, ПОИСКАТЬ, ПРОИСКАТЬ']
136971-V	РАСПОТРОШИТЬ, ВЫПОТРОШИТЬ, ВЫПОТРОШИТЬ СОДЕРЖИМОЕ, ПОТРОШИТЬ	['110910-V', '111656-V', '116221-V', '110908-V', '110752-V', '111021-V']	['ВЫНИМАТЬ, ВЫНУТЬ', 'РОНЯТЬ, УРОНИТЬ', 'ВЫТРЯХНУТЬ, ВЫТРЯСТИ, ВЫТРЯХИВАТЬ', 'ВЫВЕСТИ, УДАЛЯТЬ, УДАЛЯТЬ НАРУЖУ, УДАЛИТЬ НАРУЖУ, ВЫВЕСТИ НАРУЖУ, ВЫВЕСТИСЬ, ВЫВОДИТЬ, ВЫВОДИТЬ ЗА ПРЕДЕЛЫ, УДАЛЯТЬСЯ, ВЫВОДИТЬ НАРУЖУ, ВЫВОДИТЬСЯ, УДАЛИТЬ, ВЫВЕСТИ ЗА ПРЕДЕЛЫ', 'ОПОРОЖНЯТЬ, ОПУСТОШИТЬ, ОПОРАЖНИВАТЬ, ОПУСТОШАТЬ, ОПОРОЖНИТЬ', 'ВЫБРАСЫВАТЬСЯ, ВЫШВЫРИВАТЬ, ВЫКИНУТЬ, ВЫКИДЫВАТЬСЯ, БРОСАТЬ, ВЫБРОСИТЬ, ВЫШВЫРНУТЬ, ВЫБРАСЫВАТЬ, ВЫКИДЫВАТЬ, БРОСИТЬ']
4340-V	ДРЕНАЖИРОВАТЬ, ДРЕНИРОВАТЬ	['106631-V', '121004-V']	['ВНОСИТЬ ИЗМЕНЕНИЯ, ПЕРЕМЕНИТЬ, МЕНЯТЬ, ИЗМЕНЯТЬ, ИЗМЕНИТЬ, ВНЕСТИ ИЗМЕНЕНИЯ', 'ОТВЕСТИ, ОТВЕСТИ В ДРУГОЕ НАПРАВЛЕНИЕ, ОТВОДИТЬ, ОТВЕСТИ В СТОРОНУ']
4340-V	ДРЕНАЖИРОВАТЬ, ДРЕНИРОВАТЬ	['253-V', '3844-V']	['УЛУЧШИТЬ ПОЧВЫ, УЛУЧШАТЬ ПОЧВЫ, УЛУЧШАТЬ ЗЕМЛЮ, УЛУЧШИТЬ ЗЕМЛЮ, МЕЛИОРИРОВАТЬ', 'ОСУШИТЬ, ОСУШАТЬ']
116657-V	ВТЕРЕТЬСЯ, ВТИРАТЬСЯ	['113962-V', '115965-V', '144632-V']	['ВХОДИТЬ ВНУТРЬ, ВОЙТИ ВНУТРЬ, ЗАХОДИТЬ ВНУТРЬ, ЗАХОДИТЬ, ЗАЙТИ ВНУТРЬ, ЗАЙТИ, ВХОДИТЬ, ВСТУПИТЬ ВНУТРЬ, ВСТУПИТЬ, ВОЙТИ, ВСТУПАТЬ', 'ВПИТЫВАТЬСЯ, ВПИТАТЬСЯ', 'ВТЯГИВАТЬСЯ, ВТЯНУТЬСЯ, ВБИРАТЬСЯ, ВОБРАТЬСЯ']
119109-V	ВЪЕСТЬСЯ, ВЪЕДАТЬСЯ	['113962-V', '115965-V', '144632-V']	['ВХОДИТЬ ВНУТРЬ, ВОЙТИ ВНУТРЬ, ЗАХОДИТЬ ВНУТРЬ, ЗАХОДИТЬ, ЗАЙТИ ВНУТРЬ, ЗАЙТИ, ВХОДИТЬ, ВСТУПИТЬ ВНУТРЬ, ВСТУПИТЬ, ВОЙТИ, ВСТУПАТЬ', 'ВПИТЫВАТЬСЯ, ВПИТАТЬСЯ', 'ВТЯГИВАТЬСЯ, ВТЯНУТЬСЯ, ВБИРАТЬСЯ, ВОБРАТЬСЯ']
123373-V	ВСОСАТЬСЯ, ВСАСЫВАТЬСЯ	['113962-V', '115965-V', '144632-V']	['ВХОДИТЬ ВНУТРЬ, ВОЙТИ ВНУТРЬ, ЗАХОДИТЬ ВНУТРЬ, ЗАХОДИТЬ, ЗАЙТИ ВНУТРЬ, ЗАЙТИ, ВХОДИТЬ, ВСТУПИТЬ ВНУТРЬ, ВСТУПИТЬ, ВОЙТИ, ВСТУПАТЬ', 'ВПИТЫВАТЬСЯ, ВПИТАТЬСЯ', 'ВТЯГИВАТЬСЯ, ВТЯНУТЬСЯ, ВБИРАТЬСЯ, ВОБРАТЬСЯ']
119373-V	ПРОРВАТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ, ПРОРЫВАТЬСЯ, ПРОРЫВАТЬ, ПРОРВАТЬСЯ ЧЕРЕЗ ПРЕГРАДУ, ПРОРВАТЬСЯ СИЛОЙ, ПРОРВАТЬСЯ, ПРОРВАТЬ, ПРОБИТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ, ПРОРЫВАТЬСЯ ЧЕРЕЗ ПРЕГРАДУ, ПРОБИТЬСЯ, ПРОБИВАТЬСЯ, ПРОРЫВАТЬСЯ ЧЕРЕЗ ПРЕПЯТСТВИЕ	['115524-V', '107470-V', '111845-V', '117932-V', '126274-V', '115522-V']	['ДОХОДИТЬ, ПРИБЫТЬ, ДОЙТИ, ЯВИТЬСЯ, ПРИБЫТЬ НА МЕСТО, ЯВЛЯТЬСЯ, ЯВИТЬСЯ НА МЕСТО, ПРИБЫВАТЬ', 'ШАГАТЬ, ХОДИТЬ ПЕШКОМ, ХОДИТЬ, СТУПАТЬ, ПРОХОДИТЬ, ПРОЙТИСЬ, ПРОЙТИ РАССТОЯНИЕ, ПРОЙТИ, ПОХОДИТЬ, ПОТОПАТЬ, ПОЙТИ, ОТШАГИВАТЬ, ОТШАГАТЬ, ОТТОПАТЬ, ИДТИ ПЕШКОМ, ИДТИ НОГАМИ, ИДТИ, ЗАШАГАТЬ, ЗАХОДИТЬ, ЗАТОПАТЬ, ВЫШАГИВАТЬ', 'ПРОНИКАТЬ, ПРОНИКНУТЬ, ПРОНИКНУТЬ ВНУТРЬ', 'ПРОБИРАТЬСЯ, С ТРУДОМ ПРОНИКНУТЬ, ПРОБРАТЬСЯ', 'ДОЙТИ, ПРИХОДИТЬ К МЕСТУ, ДОШАГИВАТЬ, ЗАЯВИТЬСЯ, ЗАЯВЛЯТЬСЯ, ПРИХОДИТЬ, ПРИЙТИ, ДОШАГАТЬ, ПРИЙТИ К МЕСТУ, ДОХОДИТЬ, ДОЙТИ К МЕСТУ', 'ДОБРАТЬСЯ ДО МЕСТА, ДОБРАТЬСЯ, ДОБИРАТЬСЯ, ДОБРАТЬСЯ ДО ЦЕЛИ, ДОСТИГНУТЬ, ДОСТИЧЬ, ДОСТИЧЬ МЕСТА, ДОСТИГАТЬ МЕСТА, ДОСТИГАТЬ']
139436-V	ПРОСОЧИТЬСЯ, ПРОСАЧИВАТЬСЯ	['111845-V', '117932-V', '115522-V']	['ПРОНИКАТЬ, ПРОНИКНУТЬ, ПРОНИКНУТЬ ВНУТРЬ', 'ПРОБИРАТЬСЯ, С ТРУДОМ ПРОНИКНУТЬ, ПРОБРАТЬСЯ', 'ДОБРАТЬСЯ ДО МЕСТА, ДОБРАТЬСЯ, ДОБИРАТЬСЯ, ДОБРАТЬСЯ ДО ЦЕЛИ, ДОСТИГНУТЬ, ДОСТИЧЬ, ДОСТИЧЬ МЕСТА, ДОСТИГАТЬ МЕСТА, ДОСТИГАТЬ']
116172-V	КЛАСТЬ ЯЙЦА, СНЕСТИСЬ, СНЕСТИ, ОТКЛАДЫВАТЬ ЯЙЦА, НЕСТИСЬ, НЕСТИ ЯЙЦА, СНЕСТИ ЯЙЦО	['116173-V', '116100-V']	['ОТЛОЖИТЬ, КЛАСТЬ, ОТКЛАДЫВАТЬ', 'ВЫВОДИТЬСЯ, ВЫВЕСТИСЬ, ВЫВОДИТЬ, ВЫВОДИТЬ ДЕТЕНЫШЕЙ, ПОВЫВЕСТИСЬ, ВЫВЕСТИ, ВЫВЕСТИ ДЕТЕНЫШЕЙ']
115601-V	САДНИТЬ, СВЕРБЕТЬ	['106915-V', '120185-V']	['ОЩУЩАТЬ, ОЩУТИТЬ, ИСПЫТЫВАТЬ ОЩУЩЕНИЕ, ПОЧУВСТВОВАТЬ, ВОСПРИНИМАТЬ, ЧУВСТВОВАТЬ, ВОСПРИНИМАТЬСЯ, ВОСПРИНЯТЬ', 'ЗУДЕТЬ, ЗУДИТЬ, ИСПЫТЫВАТЬ ЗУД']
120186-V	ЩЕКОТАТЬ	['106915-V', '120185-V']	['ОЩУЩАТЬ, ОЩУТИТЬ, ИСПЫТЫВАТЬ ОЩУЩЕНИЕ, ПОЧУВСТВОВАТЬ, ВОСПРИНИМАТЬ, ЧУВСТВОВАТЬ, ВОСПРИНИМАТЬСЯ, ВОСПРИНЯТЬ', 'ЗУДЕТЬ, ЗУДИТЬ, ИСПЫТЫВАТЬ ЗУД']
140767-V	ЗАЧЕСАТЬСЯ, ЧЕСАТЬСЯ	['106915-V', '120185-V']	['ОЩУЩАТЬ, ОЩУТИТЬ, ИСПЫТЫВАТЬ ОЩУЩЕНИЕ, ПОЧУВСТВОВАТЬ, ВОСПРИНИМАТЬ, ЧУВСТВОВАТЬ, ВОСПРИНИМАТЬСЯ, ВОСПРИНЯТЬ', 'ЗУДЕТЬ, ЗУДИТЬ, ИСПЫТЫВАТЬ ЗУД']
142317-V	ПРОДВИГАТЬ НА РЫНОК, ПРОДВИГАТЬ ТОВАР	['106686-V', '106709-V', '106898-V', '106897-V']	['ПОНАБЛЮДАТЬ, ПРОНАБЛЮДАТЬ, ПРОИЗВОДИТЬ ИССЛЕДОВАНИЕ, ПРОИЗВЕСТИ ИССЛЕДОВАНИЕ, ПРОВОДИТЬ ИССЛЕДОВАНИЕ, ПРОВЕСТИ ИССЛЕДОВАНИЕ, НАБЛЮДАТЬ, ИССЛЕДОВАТЬ, ИЗУЧИТЬ, ИЗУЧАТЬ', 'УЗНАТЬ НОВОЕ, УЗНАВАТЬ НОВОЕ, УЗНАВАТЬ, ПОЛУЧИТЬ СВЕДЕНИЯ, ПОЛУЧАТЬ СВЕДЕНИЯ, УЗНАТЬ НОВУЮ ИНФОРМАЦИЮ, УЗНАТЬ, УЗНАВАТЬ НОВУЮ ИНФОРМАЦИЮ', 'РАССМОТРЕТЬ ВОПРОС, ДОРАССМОТРЕТЬ, ПРОАНАЛИЗИРОВАТЬ, РАЗБИРАТЬ, РАЗОБРАТЬ, РАССМАТРИВАТЬ, РАССМОТРЕТЬ', 'ПРОВЕСТИ АНАЛИЗ, АНАЛИЗИРОВАТЬ']
142317-V	ПРОДВИГАТЬ НА РЫНОК, ПРОДВИГАТЬ ТОВАР	['141310-V', '147492-V', '1885-V']	['СДВИГАТЬ С МЕРТВОЙ ТОЧКИ, СДВИНУТЬ С МЕРТВОЙ ТОЧКИ, СДВИНУТЬСЯ С МЕРТВОЙ ТОЧКИ, ТРОНУТЬСЯ С МЕРТВОЙ ТОЧКИ, ДВИНУТЬСЯ С МЕРТВЫЙ ТОЧКА, ПРОДВИГАТЬ, ПРОДВИНУТЬ, СДВИГАТЬСЯ С МЕРТВОЙ ТОЧКИ', 'РАСКРУТИТЬ, РАСКРУЧИВАТЬ', 'РАСПРОСТРАНИТЬ ИНФОРМАЦИЮ, ЦИРКУЛИРОВАТЬ, РАСПРОСТРАНЯТЬ ИНФОРМАЦИЮ, РАСПРОСТРАНЯТЬ МАССОВУЮ ИНФОРМАЦИЮ, ЦИРКУЛИРУЕТ ИНФОРМАЦИЯ']
128332-V	УШИТЬ, УШИВАТЬ	['106638-V', '127237-V']	['УМЕНЬШИТЬ, УМЕНЬШАТЬ', 'СУЖАТЬ, СУЖИВАТЬ, УМЕНЬШИТЬ ШИРИНУ, УМЕНЬШИТЬ В ШИРИНУ, УМЕНЬШАТЬ ШИРИНУ, УМЕНЬШАТЬ В ШИРИНУ, СУЗИТЬ']
128332-V	УШИТЬ, УШИВАТЬ	['110801-V', '116817-V']	['НАШИТЬ, ДОШИТЬ, НАШИВАТЬ, ДОШИВАТЬ, ПОШИТЬ, СШИТЬ, ШИТЬ', 'ПЕРЕШИТЬ, ПЕРЕШИВАТЬ']
7724-V	ВЫХОДИТЬ В ЭФИР, ВЫЙТИ В ЭФИР	['1374-V', '113973-V', '110447-V']	['ВЕЩАТЬ, ВЕСТИ ВЕЩАНИЕ', 'ПЕРЕДАВАТЬ, ПЕРЕДАТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ']
117873-V	СВОДИТЬ, ПЕРЕВОДИТЬ, ПЕРЕВЕСТИ, СВЕСТИ	['111627-V', '110447-V', '107005-V', '111623-V', '111619-V', '111626-V']	['ПЕРЕЧЕРЧИВАТЬ, СЧЕРТИТЬ, СКОПИРОВАТЬ ЧЕРТЕЖ, СЧЕРЧИВАТЬ, ПЕРЕЧЕРТИТЬ', 'ВОСПРОИЗВОДИТЬ, ВОСПРОИЗВЕСТИ', 'СДЕЛАТЬ РИСУНОК, ПОРИСОВАТЬ, ДОРИСОВЫВАТЬ, ЗАРИСОВАТЬ, ДОРИСОВАТЬ, ДЕЛАТЬ РИСУНОК, ПРОРИСОВАТЬ, РИСОВАТЬ, РИСОВАТЬСЯ, ЗАРИСОВЫВАТЬ, НАРИСОВАТЬ', 'СРИСОВЫВАТЬ, СРИСОВАТЬ, ПЕРЕРИСОВАТЬ, ПЕРЕРИСОВЫВАТЬ', 'СКОПИРОВАТЬ, ДЕЛАТЬ КОПИЮ, КОПИРОВАТЬ, СДЕЛАТЬ КОПИЮ, СНИМАТЬ КОПИЮ, СНЯТЬ КОПИЮ', 'ПЕРЕЧЕРЧИВАТЬ, ПЕРЕЧЕРТИТЬ']
145151-V	ПРОАНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ, АНАЛИЗИРОВАТЬ ДАННЫЕ, АНАЛИЗИРОВАТЬ ИНФОРМАЦИЮ, ПРОАНАЛИЗИРОВАТЬ ДАННЫЕ	['106686-V', '106898-V', '106897-V']	['ПОНАБЛЮДАТЬ, ПРОНАБЛЮДАТЬ, ПРОИЗВОДИТЬ ИССЛЕДОВАНИЕ, ПРОИЗВЕСТИ ИССЛЕДОВАНИЕ, ПРОВОДИТЬ ИССЛЕДОВАНИЕ, ПРОВЕСТИ ИССЛЕДОВАНИЕ, НАБЛЮДАТЬ, ИССЛЕДОВАТЬ, ИЗУЧИТЬ, ИЗУЧАТЬ', 'РАССМОТРЕТЬ ВОПРОС, ДОРАССМОТРЕТЬ, ПРОАНАЛИЗИРОВАТЬ, РАЗБИРАТЬ, РАЗОБРАТЬ, РАССМАТРИВАТЬ, РАССМОТРЕТЬ', 'ПРОВЕСТИ АНАЛИЗ, АНАЛИЗИРОВАТЬ']
