SYNSET_ID	TEXT	PARENTS	DEFINITION
111770-V	ОТПОЛИРОВАТЬ,НАПОЛИРОВАТЬ,ПОЛИРОВАТЬ	111785-V,106631-V,111782-V	придавать поверхности зеркально гладкий вид путем натирания, трения
111770-V	ОТПОЛИРОВАТЬ,НАПОЛИРОВАТЬ,ПОЛИРОВАТЬ	111769-V,106631-V	придавать поверхности зеркально гладкий вид путем натирания, трения
111770-V	ОТПОЛИРОВАТЬ,НАПОЛИРОВАТЬ,ПОЛИРОВАТЬ	146751-V,106534-V	придавать поверхности зеркально гладкий вид путем натирания, трения
120619-V	АННЕКСИРОВАТЬ	122242-V,118698-V	
120619-V	АННЕКСИРОВАТЬ	116663-V,113962-V	
120619-V	АННЕКСИРОВАТЬ	107328-V,148420-V,118966-V	
120619-V	АННЕКСИРОВАТЬ	115072-V,115075-V,114372-V	
120619-V	АННЕКСИРОВАТЬ	111668-V,118698-V	
117562-V	РАССЛЫШАТЬ	111591-V,106710-V	
7466-V	ОТСКАНИРОВАТЬ,СКАНИРОВАТЬ	111591-V,106710-V	перевод изображения или множества изображений в цифровую форму с помощью сканирования
7466-V	ОТСКАНИРОВАТЬ,СКАНИРОВАТЬ	150388-V	перевод изображения или множества изображений в цифровую форму с помощью сканирования
7466-V	ОТСКАНИРОВАТЬ,СКАНИРОВАТЬ	106501-V	перевод изображения или множества изображений в цифровую форму с помощью сканирования
123882-V	ВСКРЫТЬСЯ,ВСКРЫВАТЬСЯ	121544-V,119282-V	
116612-V	ПЕРЕОБОРУДОВАТЬ	139346-V,112630-V,120969-V	
116612-V	ПЕРЕОБОРУДОВАТЬ	120969-V,107602-V	
116612-V	ПЕРЕОБОРУДОВАТЬ	106601-V,106699-V,112144-V	
119974-V	ШОКИРОВАТЬ	117302-V,129710-V,149898-V	приводить (привести) в сильное замешательство, вызывать (вызвать) состояние шока
119974-V	ШОКИРОВАТЬ	120293-V,110475-V,118522-V,125744-V	приводить (привести) в сильное замешательство, вызывать (вызвать) состояние шока
120232-V	ОБИРАТЬ,ОБОБРАТЬ	120231-V,111998-V	
132095-V	КУЛЬТИВИРОВАТЬ,НАСАДИТЬ,НАСАЖДАТЬ	106817-V,106473-V	усиленно, обычно принудительно внедрять, распространять
132095-V	КУЛЬТИВИРОВАТЬ,НАСАДИТЬ,НАСАЖДАТЬ	125640-V,125642-V,131211-V	усиленно, обычно принудительно внедрять, распространять
132095-V	КУЛЬТИВИРОВАТЬ,НАСАДИТЬ,НАСАЖДАТЬ	119127-V,106473-V	усиленно, обычно принудительно внедрять, распространять
133707-V	НАПИЧКАТЬ,ПИЧКАТЬ	106817-V,106473-V	
133707-V	НАПИЧКАТЬ,ПИЧКАТЬ	115186-V,106548-V	
133707-V	НАПИЧКАТЬ,ПИЧКАТЬ	111862-V,118860-V,106811-V	
110799-V	НАШИНКОВЫВАТЬ,НАСЕЧЬ,ШИНКОВАТЬ,НАШИНКОВАТЬ,НАСЕКАТЬ	107412-V,107410-V	
110799-V	НАШИНКОВЫВАТЬ,НАСЕЧЬ,ШИНКОВАТЬ,НАШИНКОВАТЬ,НАСЕКАТЬ	111775-V,107410-V	
111630-V	ПЕРЕРЕЗЫВАТЬ,ПЕРЕРЕЗАТЬ	107412-V,107410-V	разрезав в каком-либо месте, разделить надвое, на части
111630-V	ПЕРЕРЕЗЫВАТЬ,ПЕРЕРЕЗАТЬ	107410-V,107409-V	разрезав в каком-либо месте, разделить надвое, на части
114340-V	ПРОРЕЗЫВАТЬСЯ,ПРОРЕЗАТЬ,ПРОРЕЗЫВАТЬ	107412-V,107410-V	
114340-V	ПРОРЕЗЫВАТЬСЯ,ПРОРЕЗАТЬ,ПРОРЕЗЫВАТЬ	111853-V,106493-V	
117008-V	НАДРЕЗЫВАТЬ,НАДРЕЗАТЬ	107412-V,107410-V	
120829-V	ИЗРЕЗЫВАТЬ,КРОМСАТЬ,ИСКРОМСАТЬ,ИЗРЕЗАТЬ	107412-V,107410-V	
127623-V	ПОДРЕЗЫВАТЬ,ПОДРЕЗАТЬ	107412-V,107410-V	
127623-V	ПОДРЕЗЫВАТЬ,ПОДРЕЗАТЬ	111983-V,111668-V	
130183-V	ВСПОРОТЬ,ВСПАРЫВАТЬ,РАСПАРЫВАТЬ,РАСПОРОТЬ	107412-V,107410-V	
130183-V	ВСПОРОТЬ,ВСПАРЫВАТЬ,РАСПАРЫВАТЬ,РАСПОРОТЬ	107416-V,107410-V	
8188-V	ИМПЛАНТИРОВАТЬ	125596-V,111189-V,5390-V	вживлять (вставлять или пересаживать) в ткани организма чуждые ему материалы или органы, ткани и т. п.
8188-V	ИМПЛАНТИРОВАТЬ	113873-V,5390-V	вживлять (вставлять или пересаживать) в ткани организма чуждые ему материалы или органы, ткани и т. п.
115920-V	БРАКОВАТЬ,ОТБРАКОВАТЬ,ВЫБРАКОВЫВАТЬ,ЗАБРАКОВАТЬ,ВЫБРАКОВАТЬ	149274-V,115033-V	
115920-V	БРАКОВАТЬ,ОТБРАКОВАТЬ,ВЫБРАКОВЫВАТЬ,ЗАБРАКОВАТЬ,ВЫБРАКОВАТЬ	151609-V,127161-V,115033-V	
116386-V	ОТВАДИТЬ,ОТВАЖИВАТЬ	116385-V,106817-V	
129213-V	СТИМУЛИРОВАТЬ,ПРОСТИМУЛИРОВАТЬ	113220-V,115880-V,141730-V,106878-V	создавать (создать) стимул или служить (послужить) стимулом к чему-либо, ускорять (ускорить) осуществление, совершение чего-либо
129213-V	СТИМУЛИРОВАТЬ,ПРОСТИМУЛИРОВАТЬ	116104-V,118594-V	создавать (создать) стимул или служить (послужить) стимулом к чему-либо, ускорять (ускорить) осуществление, совершение чего-либо
125792-V	ВЫГОРОДИТЬ,ВЫГОРАЖИВАТЬ	118617-V,116771-V,106595-V	
125792-V	ВЫГОРОДИТЬ,ВЫГОРАЖИВАТЬ	106869-V,106868-V,106876-V	
1485-V	ЗАБАСТОВАТЬ,БАСТОВАТЬ,ПОБАСТОВАТЬ	8089-V,131954-V,106702-V,106501-V	коллективное организованное прекращение работы в организации или предприятии с целью добиться выполнения каких-либо требований
1485-V	ЗАБАСТОВАТЬ,БАСТОВАТЬ,ПОБАСТОВАТЬ	8456-V,124971-V,106881-V	коллективное организованное прекращение работы в организации или предприятии с целью добиться выполнения каких-либо требований
7159-V	ПИКЕТИРОВАТЬ	8089-V,131954-V,106702-V,106501-V	
7159-V	ПИКЕТИРОВАТЬ	8456-V,124971-V,106881-V	
7159-V	ПИКЕТИРОВАТЬ	124971-V,106504-V,118698-V	
125366-V	БОЙКОТИРОВАТЬ	8089-V,131954-V,106702-V,106501-V	
125366-V	БОЙКОТИРОВАТЬ	8456-V,124971-V,106881-V	
114746-V	МУРЛЫКАТЬ,ПРОМУРЛЫКАТЬ	114745-V,107093-V	
120041-V	ПОЛИСТАТЬ,ПЕРЕЛИСТЫВАТЬ,ПРОЛИСТЫВАТЬ,ПЕРЕЛИСТНУТЬ,ЛИСТАТЬ,ПРОЛИСТАТЬ,ПЕРЕЛИСТАТЬ	120040-V,120003-V	переворачивать (страницы книги, тетради и т. п.)
120041-V	ПОЛИСТАТЬ,ПЕРЕЛИСТЫВАТЬ,ПРОЛИСТЫВАТЬ,ПЕРЕЛИСТНУТЬ,ЛИСТАТЬ,ПРОЛИСТАТЬ,ПЕРЕЛИСТАТЬ	111037-V,106888-V	переворачивать (страницы книги, тетради и т. п.)
139835-V	КОПАТЬСЯ,ОБЫСКАТЬ,ОБЫСКИВАТЬ,ПЕРЕЛОПАТИТЬ,ПЕРЕРЫВАТЬ,ШАРИТЬ,РЫТЬСЯ,ПОШАРИТЬ,ПОРЫТЬСЯ,ПОКОПАТЬСЯ,ПЕРЕТРЯХНУТЬ,ПЕРЕРЫТЬ,ПЕРЕТРЯХИВАТЬ,ПЕРЕТРЯСТИ,ПЕРЕТРЯСАТЬ	120040-V,120003-V	осматривать всё с целью поиска чего-либо, искать повсюду или во многих местах
139835-V	КОПАТЬСЯ,ОБЫСКАТЬ,ОБЫСКИВАТЬ,ПЕРЕЛОПАТИТЬ,ПЕРЕРЫВАТЬ,ШАРИТЬ,РЫТЬСЯ,ПОШАРИТЬ,ПОРЫТЬСЯ,ПОКОПАТЬСЯ,ПЕРЕТРЯХНУТЬ,ПЕРЕРЫТЬ,ПЕРЕТРЯХИВАТЬ,ПЕРЕТРЯСТИ,ПЕРЕТРЯСАТЬ	119076-V,118698-V	осматривать всё с целью поиска чего-либо, искать повсюду или во многих местах
118541-V	ОТСЧИТЫВАТЬ,ОТСЧИТАТЬ	106885-V,106710-V	считая, определять или называть количество чего-либо
124688-V	ПРИКИДЫВАТЬ,ПРИКИНУТЬ	106885-V,106710-V	определить приблизительно количество чего-либо
127521-V	ПЕРЕЧЕСТЬ,ПЕРЕСЧИТЫВАТЬСЯ,ПЕРЕСЧИТЫВАТЬ,ПЕРЕСЧИТАТЬ	106885-V,106710-V	сосчитать заново, ещё раз
127521-V	ПЕРЕЧЕСТЬ,ПЕРЕСЧИТЫВАТЬСЯ,ПЕРЕСЧИТЫВАТЬ,ПЕРЕСЧИТАТЬ	107602-V,106504-V,110447-V	сосчитать заново, ещё раз
120571-V	ЗАДИРАТЬ,ЗАДРАТЬ	117196-V,111050-V	поднять кверху
120571-V	ЗАДИРАТЬ,ЗАДРАТЬ	108821-V,106938-V	поднять кверху
134093-V	ПРИЖЕЧЬ,ПРИЖИГАТЬ	114419-V,111370-V	
134093-V	ПРИЖЕЧЬ,ПРИЖИГАТЬ	107323-V,107324-V	
151337-V	СЖЕЧЬ	114419-V,111370-V	уничтожить огнём
130359-V	ВЫДВИНУТЬСЯ,ВЫДВИГАТЬСЯ	117846-V,118966-V	приобрести важность, значимость
130359-V	ВЫДВИНУТЬСЯ,ВЫДВИГАТЬСЯ	130360-V,106629-V	приобрести важность, значимость
130359-V	ВЫДВИНУТЬСЯ,ВЫДВИГАТЬСЯ	7589-V,117937-V,7260-V,125687-V	приобрести важность, значимость
130359-V	ВЫДВИНУТЬСЯ,ВЫДВИГАТЬСЯ	130361-V,152740-V,130360-V,129340-V	приобрести важность, значимость
143260-V	ПЕРЕГНАТЬ,ПЕРЕГОНЯТЬСЯ,ПЕРЕГОНЯТЬ	135163-V,115247-V	
143260-V	ПЕРЕГНАТЬ,ПЕРЕГОНЯТЬСЯ,ПЕРЕГОНЯТЬ	106938-V,106817-V	
115388-V	РАЗНОСИТЬ,РАЗНЕСТИ	120820-V,116610-V,108870-V	разносить; доставка чего-либо многим, в разные места
131400-V	ЗАМАХИВАТЬСЯ,ЗАМАХНУТЬСЯ	131401-V,115993-V,121004-V	резким движением, взмахом поднимать, заносить руку для удара, броска
131400-V	ЗАМАХИВАТЬСЯ,ЗАМАХНУТЬСЯ	131399-V,108821-V,121004-V	резким движением, взмахом поднимать, заносить руку для удара, броска
131404-V	ЗАМЕТЫВАТЬ,ЗАМЕТАТЬ	111575-V,106557-V,113291-V	зашить крупными стежками; зашить слегка, наскоро
131404-V	ЗАМЕТЫВАТЬ,ЗАМЕТАТЬ	112689-V,113291-V	зашить крупными стежками; зашить слегка, наскоро
134582-V	РОБОТИЗИРОВАТЬ	924-V,106981-V	оснащать (оснастить) роботами, робототехникой; внедрять (внедрить) роботов, робототехнику где-либо
120600-V	ЗАДРОЖАТЬ,ЗАТРЯСТИСЬ,ТРЯСТИСЬ,ДРОЖАТЬ,ТРЕПЕТАТЬ	151738-V,130971-V	бояться, испытывать страх
120600-V	ЗАДРОЖАТЬ,ЗАТРЯСТИСЬ,ТРЯСТИСЬ,ДРОЖАТЬ,ТРЕПЕТАТЬ	117239-V,116921-V	бояться, испытывать страх
111608-V	ОТРАВЛЯТЬ,ОТРАВИТЬ	111607-V,109705-V,111668-V	
9938-V	ПЕРЕГОЛОСОВЫВАТЬ,ПЕРЕГОЛОСОВАТЬ	10119-V,153350-V,106877-V	
9938-V	ПЕРЕГОЛОСОВЫВАТЬ,ПЕРЕГОЛОСОВАТЬ	107602-V,106504-V,110447-V	
137785-V	ВСПЫХИВАТЬ,ВСПЫХНУТЬ	131552-V,107441-V,113005-V	
110914-V	УТАСКИВАТЬ,УТАЩИТЬ	110913-V,140441-V,108870-V	
134463-V	РАСТАСКАТЬ,РАСТАЩИТЬ,РАСТАСКИВАТЬ	110913-V,140441-V,108870-V	уносить одно за другим в несколько приёмов
134463-V	РАСТАСКАТЬ,РАСТАЩИТЬ,РАСТАСКИВАТЬ	140864-V,140441-V	уносить одно за другим в несколько приёмов
134463-V	РАСТАСКАТЬ,РАСТАЩИТЬ,РАСТАСКИВАТЬ	107409-V,106531-V,106631-V	уносить одно за другим в несколько приёмов
117389-V	СПОХВАТИТЬСЯ,СПОХВАТЫВАТЬСЯ,ХВАТИТЬСЯ	117371-V,120812-V	обнаружить свой промах, своё упущение; спохватиться
117389-V	СПОХВАТИТЬСЯ,СПОХВАТЫВАТЬСЯ,ХВАТИТЬСЯ	130182-V,129748-V	обнаружить свой промах, своё упущение; спохватиться
118808-V	НЕДОСЧИТАТЬСЯ,НЕДОСЧИТЫВАТЬСЯ	117371-V,120812-V	
120706-V	ОТКРЫВАТЬ,ОТКРЫТЬ	117371-V,120812-V	обнаруживать ранее никому не известное, совершать научное открытие
120706-V	ОТКРЫВАТЬ,ОТКРЫТЬ	106710-V,106709-V	обнаруживать ранее никому не известное, совершать научное открытие
120706-V	ОТКРЫВАТЬ,ОТКРЫТЬ	117028-V,130882-V	обнаруживать ранее никому не известное, совершать научное открытие
129338-V	ВЫСМОТРЕТЬ,УСМАТРИВАТЬ,УГЛЯДЫВАТЬ,УГЛЯДЕТЬ,ВЫСМАТРИВАТЬ,ВЫГЛЯДЕТЬ,ВЫГЛЯДЫВАТЬ,УСМОТРЕТЬ,УЗРЕТЬ	117371-V,120812-V	высмотреть, то есть заметить кого-либо или что-либо, наблюдая
129338-V	ВЫСМОТРЕТЬ,УСМАТРИВАТЬ,УГЛЯДЫВАТЬ,УГЛЯДЕТЬ,ВЫСМАТРИВАТЬ,ВЫГЛЯДЕТЬ,ВЫГЛЯДЫВАТЬ,УСМОТРЕТЬ,УЗРЕТЬ	118282-V,117371-V	высмотреть, то есть заметить кого-либо или что-либо, наблюдая
129338-V	ВЫСМОТРЕТЬ,УСМАТРИВАТЬ,УГЛЯДЫВАТЬ,УГЛЯДЕТЬ,ВЫСМАТРИВАТЬ,ВЫГЛЯДЕТЬ,ВЫГЛЯДЫВАТЬ,УСМОТРЕТЬ,УЗРЕТЬ	119930-V,106903-V,119132-V	высмотреть, то есть заметить кого-либо или что-либо, наблюдая
141619-V	УЛОВИТЬ,УЛАВЛИВАТЬ,ЛОВИТЬ	117371-V,120812-V	воспринять органами чувств что-либо слабо проявляющееся, едва видимое, слышимое и т.п.
141619-V	УЛОВИТЬ,УЛАВЛИВАТЬ,ЛОВИТЬ	106915-V,116921-V	воспринять органами чувств что-либо слабо проявляющееся, едва видимое, слышимое и т.п.
142174-V	УСМАТРИВАТЬ,УЗРЕТЬ,УВИДЕТЬ,РАЗГЛЯДЕТЬ,ВИДЕТЬ,УСМОТРЕТЬ	117371-V,120812-V	
142174-V	УСМАТРИВАТЬ,УЗРЕТЬ,УВИДЕТЬ,РАЗГЛЯДЕТЬ,ВИДЕТЬ,УСМОТРЕТЬ	106884-V,106883-V	
142174-V	УСМАТРИВАТЬ,УЗРЕТЬ,УВИДЕТЬ,РАЗГЛЯДЕТЬ,ВИДЕТЬ,УСМОТРЕТЬ	115932-V,106678-V	
115315-V	ЗАСНУТЬ,ЗАСЫПАТЬ,УСНУТЬ	115314-V,111612-V	погрузиться в сон, перейти в состояние сна
131140-V	ГНОИТЬСЯ,ЗАГНОИТЬСЯ,ЗАГНАИВАТЬСЯ	120550-V,152470-V	
135081-V	СЛЕЗИТЬСЯ,СЛЕЗОТОЧИТЬ	120550-V,152470-V	выделение слёз у человека и млекопитающих, осуществляемое слёзными железами
